season,league_name,home_team_api_id,away_team_api_id,result
2008/2009,Belgium Jupiler League,8635,10001,Home Win
2008/2009,Belgium Jupiler League,9985,9996,Home Win
2008/2009,Belgium Jupiler League,9998,8342,Away Win
2008/2009,Belgium Jupiler League,9986,4049,Home Win
2008/2009,Belgium Jupiler League,9984,8203,Home Win
2008/2009,Belgium Jupiler League,9991,9987,Away Win
2008/2009,Belgium Jupiler League,9999,7947,Draw
2008/2009,Belgium Jupiler League,8571,10000,Home Win
2008/2009,Belgium Jupiler League,9993,9994,Away Win
2008/2009,Belgium Jupiler League,8342,9993,Home Win
2008/2009,Belgium Jupiler League,9987,9984,Home Win
2008/2009,Belgium Jupiler League,10000,9986,Home Win
2008/2009,Belgium Jupiler League,9991,9999,Home Win
2008/2009,Belgium Jupiler League,7947,8635,Away Win
2008/2009,Belgium Jupiler League,8203,9985,Draw
2008/2009,Belgium Jupiler League,9996,9994,Home Win
2008/2009,Belgium Jupiler League,4049,8571,Draw
2008/2009,Belgium Jupiler League,10001,9998,Home Win
2008/2009,Belgium Jupiler League,8635,4049,Home Win
2008/2009,Belgium Jupiler League,9985,10000,Away Win
2008/2009,Belgium Jupiler League,9998,7947,Home Win
2008/2009,Belgium Jupiler League,9986,8203,Away Win
2008/2009,Belgium Jupiler League,9984,9991,Home Win
2008/2009,Belgium Jupiler League,9994,8342,Home Win
2008/2009,Belgium Jupiler League,9999,10001,Home Win
2008/2009,Belgium Jupiler League,8571,9987,Home Win
2008/2009,Belgium Jupiler League,9993,9996,Home Win
2008/2009,Belgium Jupiler League,8342,9985,Away Win
2008/2009,Belgium Jupiler League,9987,9986,Home Win
2008/2009,Belgium Jupiler League,10000,9996,Home Win
2008/2009,Belgium Jupiler League,9991,8571,Draw
2008/2009,Belgium Jupiler League,7947,9994,Draw
2008/2009,Belgium Jupiler League,8203,9993,Home Win
2008/2009,Belgium Jupiler League,9999,8635,Away Win
2008/2009,Belgium Jupiler League,4049,9998,Home Win
2008/2009,Belgium Jupiler League,10001,9984,Away Win
2008/2009,Belgium Jupiler League,8635,9987,Home Win
2008/2009,Belgium Jupiler League,9985,9991,Home Win
2008/2009,Belgium Jupiler League,9998,10000,Draw
2008/2009,Belgium Jupiler League,9986,7947,Home Win
2008/2009,Belgium Jupiler League,9984,9999,Home Win
2008/2009,Belgium Jupiler League,9994,8203,Draw
2008/2009,Belgium Jupiler League,9996,8342,Home Win
2008/2009,Belgium Jupiler League,8571,10001,Draw
2008/2009,Belgium Jupiler League,9993,4049,Home Win
2008/2009,Belgium Jupiler League,9993,9987,Home Win
2008/2009,Belgium Jupiler League,9994,10000,Home Win
2008/2009,Belgium Jupiler League,8635,9984,Away Win
2008/2009,Belgium Jupiler League,9998,9991,Away Win
2008/2009,Belgium Jupiler League,9985,7947,Home Win
2008/2009,Belgium Jupiler League,8342,8203,Home Win
2008/2009,Belgium Jupiler League,8571,9999,Home Win
2008/2009,Belgium Jupiler League,9996,4049,Draw
2008/2009,Belgium Jupiler League,9986,10001,Away Win
2008/2009,Belgium Jupiler League,10000,8342,Home Win
2008/2009,Belgium Jupiler League,9991,8635,Away Win
2008/2009,Belgium Jupiler League,10001,9985,Away Win
2008/2009,Belgium Jupiler League,9987,9998,Home Win
2008/2009,Belgium Jupiler League,9999,9986,Home Win
2008/2009,Belgium Jupiler League,4049,9994,Home Win
2008/2009,Belgium Jupiler League,8203,9996,Draw
2008/2009,Belgium Jupiler League,9984,8571,Away Win
2008/2009,Belgium Jupiler League,7947,9993,Away Win
2008/2009,Belgium Jupiler League,8342,10000,Home Win
2008/2009,Belgium Jupiler League,8635,9991,Draw
2008/2009,Belgium Jupiler League,9985,10001,Home Win
2008/2009,Belgium Jupiler League,9998,9987,Home Win
2008/2009,Belgium Jupiler League,9986,9999,Home Win
2008/2009,Belgium Jupiler League,9994,4049,Home Win
2008/2009,Belgium Jupiler League,9996,8203,Home Win
2008/2009,Belgium Jupiler League,8571,9984,Home Win
2008/2009,Belgium Jupiler League,9993,7947,Draw
2008/2009,Belgium Jupiler League,8571,8635,Away Win
2008/2009,Belgium Jupiler League,9994,9987,Away Win
2008/2009,Belgium Jupiler League,9998,9984,Draw
2008/2009,Belgium Jupiler League,9986,9991,Away Win
2008/2009,Belgium Jupiler League,9996,7947,Away Win
2008/2009,Belgium Jupiler League,10000,8203,Draw
2008/2009,Belgium Jupiler League,9985,9999,Home Win
2008/2009,Belgium Jupiler League,8342,4049,Home Win
2008/2009,Belgium Jupiler League,9993,10001,Home Win
2008/2009,Belgium Jupiler League,7947,8342,Away Win
2008/2009,Belgium Jupiler League,8571,9985,Away Win
2008/2009,Belgium Jupiler League,8635,9998,Home Win
2008/2009,Belgium Jupiler League,9987,10000,Away Win
2008/2009,Belgium Jupiler League,9984,9986,Draw
2008/2009,Belgium Jupiler League,10001,9994,Home Win
2008/2009,Belgium Jupiler League,4049,8203,Away Win
2008/2009,Belgium Jupiler League,9991,9996,Home Win
2008/2009,Belgium Jupiler League,9999,9993,Draw
2008/2009,Belgium Jupiler League,9986,8635,Away Win
2008/2009,Belgium Jupiler League,8342,9987,Away Win
2008/2009,Belgium Jupiler League,9993,9984,Draw
2008/2009,Belgium Jupiler League,8203,9991,Draw
2008/2009,Belgium Jupiler League,10000,7947,Home Win
2008/2009,Belgium Jupiler League,9994,9999,Home Win
2008/2009,Belgium Jupiler League,9998,8571,Draw
2008/2009,Belgium Jupiler League,9985,4049,Home Win
2008/2009,Belgium Jupiler League,9996,10001,Draw
2008/2009,Belgium Jupiler League,10001,8342,Draw
2008/2009,Belgium Jupiler League,8635,9985,Home Win
2008/2009,Belgium Jupiler League,9999,9998,Home Win
2008/2009,Belgium Jupiler League,4049,10000,Away Win
2008/2009,Belgium Jupiler League,8571,9986,Draw
2008/2009,Belgium Jupiler League,9984,9994,Draw
2008/2009,Belgium Jupiler League,7947,8203,Away Win
2008/2009,Belgium Jupiler League,9987,9996,Draw
2008/2009,Belgium Jupiler League,9991,9993,Away Win
2008/2009,Belgium Jupiler League,9996,8635,Draw
2008/2009,Belgium Jupiler League,8203,9987,Home Win
2008/2009,Belgium Jupiler League,9986,9998,Home Win
2008/2009,Belgium Jupiler League,9985,9984,Home Win
2008/2009,Belgium Jupiler League,9994,9991,Away Win
2008/2009,Belgium Jupiler League,8342,9999,Home Win
2008/2009,Belgium Jupiler League,9993,8571,Home Win
2008/2009,Belgium Jupiler League,7947,4049,Home Win
2008/2009,Belgium Jupiler League,10000,10001,Draw
2008/2009,Belgium Jupiler League,9984,8342,Away Win
2008/2009,Belgium Jupiler League,9998,9985,Away Win
2008/2009,Belgium Jupiler League,8635,10000,Home Win
2008/2009,Belgium Jupiler League,8571,9994,Away Win
2008/2009,Belgium Jupiler League,9987,7947,Home Win
2008/2009,Belgium Jupiler League,10001,8203,Away Win
2008/2009,Belgium Jupiler League,9999,9996,Home Win
2008/2009,Belgium Jupiler League,9991,4049,Home Win
2008/2009,Belgium Jupiler League,9986,9993,Draw
2008/2009,Belgium Jupiler League,8203,8635,Home Win
2008/2009,Belgium Jupiler League,9985,9987,Home Win
2008/2009,Belgium Jupiler League,9993,9998,Home Win
2008/2009,Belgium Jupiler League,9994,9986,Draw
2008/2009,Belgium Jupiler League,7947,9984,Home Win
2008/2009,Belgium Jupiler League,8342,9991,Away Win
2008/2009,Belgium Jupiler League,10000,9999,Draw
2008/2009,Belgium Jupiler League,9996,8571,Home Win
2008/2009,Belgium Jupiler League,4049,10001,Away Win
2008/2009,Belgium Jupiler League,8571,8342,Away Win
2008/2009,Belgium Jupiler League,9986,9985,Home Win
2008/2009,Belgium Jupiler League,9991,10000,Home Win
2008/2009,Belgium Jupiler League,9998,9994,Away Win
2008/2009,Belgium Jupiler League,10001,7947,Home Win
2008/2009,Belgium Jupiler League,9999,8203,Home Win
2008/2009,Belgium Jupiler League,9984,9996,Away Win
2008/2009,Belgium Jupiler League,9987,4049,Home Win
2008/2009,Belgium Jupiler League,8635,9993,Home Win
2008/2009,Belgium Jupiler League,9994,8635,Draw
2008/2009,Belgium Jupiler League,9996,9998,Home Win
2008/2009,Belgium Jupiler League,8342,9986,Home Win
2008/2009,Belgium Jupiler League,10000,9984,Home Win
2008/2009,Belgium Jupiler League,7947,9991,Draw
2008/2009,Belgium Jupiler League,4049,9999,Away Win
2008/2009,Belgium Jupiler League,8203,8571,Draw
2008/2009,Belgium Jupiler League,9987,10001,Away Win
2008/2009,Belgium Jupiler League,9985,9993,Home Win
2008/2009,Belgium Jupiler League,8635,8342,Home Win
2008/2009,Belgium Jupiler League,9999,9987,Home Win
2008/2009,Belgium Jupiler League,9993,10000,Away Win
2008/2009,Belgium Jupiler League,9985,9994,Home Win
2008/2009,Belgium Jupiler League,8571,7947,Away Win
2008/2009,Belgium Jupiler League,9998,8203,Away Win
2008/2009,Belgium Jupiler League,9986,9996,Home Win
2008/2009,Belgium Jupiler League,9984,4049,Home Win
2008/2009,Belgium Jupiler League,9991,10001,Home Win
2008/2009,Belgium Jupiler League,8635,8571,Home Win
2008/2009,Belgium Jupiler League,9987,9994,Home Win
2008/2009,Belgium Jupiler League,9984,9998,Home Win
2008/2009,Belgium Jupiler League,9991,9986,Home Win
2008/2009,Belgium Jupiler League,7947,9996,Away Win
2008/2009,Belgium Jupiler League,8203,10000,Away Win
2008/2009,Belgium Jupiler League,9999,9985,Draw
2008/2009,Belgium Jupiler League,4049,8342,Away Win
2008/2009,Belgium Jupiler League,10001,9993,Home Win
2008/2009,Belgium Jupiler League,10001,8635,Away Win
2008/2009,Belgium Jupiler League,9996,9985,Away Win
2008/2009,Belgium Jupiler League,8342,9998,Home Win
2008/2009,Belgium Jupiler League,4049,9986,Home Win
2008/2009,Belgium Jupiler League,8203,9984,Away Win
2008/2009,Belgium Jupiler League,9987,9991,Draw
2008/2009,Belgium Jupiler League,7947,9999,Home Win
2008/2009,Belgium Jupiler League,10000,8571,Home Win
2008/2009,Belgium Jupiler League,9994,9993,Home Win
2008/2009,Belgium Jupiler League,9993,8342,Home Win
2008/2009,Belgium Jupiler League,9984,9987,Away Win
2008/2009,Belgium Jupiler League,9986,10000,Home Win
2008/2009,Belgium Jupiler League,9999,9991,Away Win
2008/2009,Belgium Jupiler League,8635,7947,Home Win
2008/2009,Belgium Jupiler League,9985,8203,Home Win
2008/2009,Belgium Jupiler League,9994,9996,Home Win
2008/2009,Belgium Jupiler League,8571,4049,Draw
2008/2009,Belgium Jupiler League,9998,10001,Away Win
2008/2009,Belgium Jupiler League,4049,8635,Draw
2008/2009,Belgium Jupiler League,10000,9985,Draw
2008/2009,Belgium Jupiler League,7947,9998,Draw
2008/2009,Belgium Jupiler League,8203,9986,Home Win
2008/2009,Belgium Jupiler League,9991,9984,Home Win
2008/2009,Belgium Jupiler League,8342,9994,Away Win
2008/2009,Belgium Jupiler League,10001,9999,Home Win
2008/2009,Belgium Jupiler League,9987,8571,Away Win
2008/2009,Belgium Jupiler League,9996,9993,Home Win
2008/2009,Belgium Jupiler League,9985,8342,Home Win
2008/2009,Belgium Jupiler League,9986,9987,Home Win
2008/2009,Belgium Jupiler League,9996,10000,Away Win
2008/2009,Belgium Jupiler League,8571,9991,Away Win
2008/2009,Belgium Jupiler League,9994,7947,Away Win
2008/2009,Belgium Jupiler League,9993,8203,Home Win
2008/2009,Belgium Jupiler League,8635,9999,Home Win
2008/2009,Belgium Jupiler League,9998,4049,Draw
2008/2009,Belgium Jupiler League,9984,10001,Home Win
2008/2009,Belgium Jupiler League,9987,8635,Away Win
2008/2009,Belgium Jupiler League,9991,9985,Away Win
2008/2009,Belgium Jupiler League,10000,9998,Home Win
2008/2009,Belgium Jupiler League,7947,9986,Away Win
2008/2009,Belgium Jupiler League,9999,9984,Away Win
2008/2009,Belgium Jupiler League,8203,9994,Home Win
2008/2009,Belgium Jupiler League,8342,9996,Home Win
2008/2009,Belgium Jupiler League,10001,8571,Away Win
2008/2009,Belgium Jupiler League,4049,9993,Home Win
2008/2009,Belgium Jupiler League,8342,7947,Draw
2008/2009,Belgium Jupiler League,9985,8571,Home Win
2008/2009,Belgium Jupiler League,9998,8635,Away Win
2008/2009,Belgium Jupiler League,10000,9987,Away Win
2008/2009,Belgium Jupiler League,9986,9984,Home Win
2008/2009,Belgium Jupiler League,9994,10001,Draw
2008/2009,Belgium Jupiler League,8203,4049,Draw
2008/2009,Belgium Jupiler League,9996,9991,Home Win
2008/2009,Belgium Jupiler League,9993,9999,Home Win
2008/2009,Belgium Jupiler League,8635,9986,Home Win
2008/2009,Belgium Jupiler League,9987,8342,Away Win
2008/2009,Belgium Jupiler League,9984,9993,Home Win
2008/2009,Belgium Jupiler League,9991,8203,Away Win
2008/2009,Belgium Jupiler League,7947,10000,Home Win
2008/2009,Belgium Jupiler League,9999,9994,Away Win
2008/2009,Belgium Jupiler League,8571,9998,Home Win
2008/2009,Belgium Jupiler League,4049,9985,Away Win
2008/2009,Belgium Jupiler League,10001,9996,Draw
2008/2009,Belgium Jupiler League,8342,10001,Home Win
2008/2009,Belgium Jupiler League,9985,8635,Home Win
2008/2009,Belgium Jupiler League,9998,9999,Home Win
2008/2009,Belgium Jupiler League,10000,4049,Home Win
2008/2009,Belgium Jupiler League,9986,8571,Away Win
2008/2009,Belgium Jupiler League,9994,9984,Draw
2008/2009,Belgium Jupiler League,8203,7947,Home Win
2008/2009,Belgium Jupiler League,9996,9987,Away Win
2008/2009,Belgium Jupiler League,9993,9991,Draw
2008/2009,Belgium Jupiler League,8635,9996,Home Win
2008/2009,Belgium Jupiler League,9987,8203,Home Win
2008/2009,Belgium Jupiler League,9998,9986,Draw
2008/2009,Belgium Jupiler League,9984,9985,Home Win
2008/2009,Belgium Jupiler League,9991,9994,Draw
2008/2009,Belgium Jupiler League,9999,8342,Away Win
2008/2009,Belgium Jupiler League,8571,9993,Draw
2008/2009,Belgium Jupiler League,4049,7947,Home Win
2008/2009,Belgium Jupiler League,10001,10000,Home Win
2008/2009,Belgium Jupiler League,8342,9984,Home Win
2008/2009,Belgium Jupiler League,9985,9998,Home Win
2008/2009,Belgium Jupiler League,10000,8635,Home Win
2008/2009,Belgium Jupiler League,9994,8571,Home Win
2008/2009,Belgium Jupiler League,7947,9987,Away Win
2008/2009,Belgium Jupiler League,8203,10001,Away Win
2008/2009,Belgium Jupiler League,9996,9999,Home Win
2008/2009,Belgium Jupiler League,4049,9991,Away Win
2008/2009,Belgium Jupiler League,9993,9986,Away Win
2008/2009,Belgium Jupiler League,8635,8203,Home Win
2008/2009,Belgium Jupiler League,9987,9985,Draw
2008/2009,Belgium Jupiler League,9998,9993,Draw
2008/2009,Belgium Jupiler League,9986,9994,Draw
2008/2009,Belgium Jupiler League,9984,7947,Away Win
2008/2009,Belgium Jupiler League,9991,8342,Home Win
2008/2009,Belgium Jupiler League,9999,10000,Away Win
2008/2009,Belgium Jupiler League,8571,9996,Draw
2008/2009,Belgium Jupiler League,10001,4049,Home Win
2009/2010,Belgium Jupiler League,9985,9997,Draw
2009/2010,Belgium Jupiler League,9986,8342,Away Win
2009/2010,Belgium Jupiler League,9984,9991,Away Win
2009/2010,Belgium Jupiler League,9994,10000,Draw
2009/2010,Belgium Jupiler League,8571,8635,Away Win
2009/2010,Belgium Jupiler League,8203,10001,Home Win
2009/2010,Belgium Jupiler League,9999,9993,Draw
2009/2010,Belgium Jupiler League,8342,8635,Home Win
2009/2010,Belgium Jupiler League,9985,9987,Home Win
2009/2010,Belgium Jupiler League,9997,10000,Away Win
2009/2010,Belgium Jupiler League,9986,8571,Draw
2009/2010,Belgium Jupiler League,8203,9994,Home Win
2009/2010,Belgium Jupiler League,9999,9984,Home Win
2009/2010,Belgium Jupiler League,9993,10001,Home Win
2009/2010,Belgium Jupiler League,8342,9991,Home Win
2009/2010,Belgium Jupiler League,8635,9986,Home Win
2009/2010,Belgium Jupiler League,9987,8203,Away Win
2009/2010,Belgium Jupiler League,10000,9993,Home Win
2009/2010,Belgium Jupiler League,9994,9984,Draw
2009/2010,Belgium Jupiler League,8571,9999,Home Win
2009/2010,Belgium Jupiler League,10001,9985,Home Win
2009/2010,Belgium Jupiler League,9985,10000,Draw
2009/2010,Belgium Jupiler League,9997,9991,Away Win
2009/2010,Belgium Jupiler League,9986,10001,Draw
2009/2010,Belgium Jupiler League,9984,8571,Draw
2009/2010,Belgium Jupiler League,9994,9987,Away Win
2009/2010,Belgium Jupiler League,8203,8635,Away Win
2009/2010,Belgium Jupiler League,9999,8342,Away Win
2009/2010,Belgium Jupiler League,8342,9997,Home Win
2009/2010,Belgium Jupiler League,8635,9994,Home Win
2009/2010,Belgium Jupiler League,9987,9984,Home Win
2009/2010,Belgium Jupiler League,10000,9986,Draw
2009/2010,Belgium Jupiler League,9991,9993,Away Win
2009/2010,Belgium Jupiler League,8571,8203,Home Win
2009/2010,Belgium Jupiler League,10001,9999,Draw
2009/2010,Belgium Jupiler League,9985,8342,Home Win
2009/2010,Belgium Jupiler League,9987,8635,Away Win
2009/2010,Belgium Jupiler League,9986,9991,Away Win
2009/2010,Belgium Jupiler League,9984,10001,Home Win
2009/2010,Belgium Jupiler League,9994,8571,Draw
2009/2010,Belgium Jupiler League,9999,10000,Home Win
2009/2010,Belgium Jupiler League,9993,9997,Home Win
2009/2010,Belgium Jupiler League,8342,9993,Away Win
2009/2010,Belgium Jupiler League,8635,9999,Home Win
2009/2010,Belgium Jupiler League,9997,9984,Draw
2009/2010,Belgium Jupiler League,10000,8203,Home Win
2009/2010,Belgium Jupiler League,9991,9985,Home Win
2009/2010,Belgium Jupiler League,8571,9987,Home Win
2009/2010,Belgium Jupiler League,10001,9994,Home Win
2009/2010,Belgium Jupiler League,8342,9986,Home Win
2009/2010,Belgium Jupiler League,8635,8571,Home Win
2009/2010,Belgium Jupiler League,9997,9985,Home Win
2009/2010,Belgium Jupiler League,10000,9994,Home Win
2009/2010,Belgium Jupiler League,9991,9984,Home Win
2009/2010,Belgium Jupiler League,10001,8203,Home Win
2009/2010,Belgium Jupiler League,9993,9999,Home Win
2009/2010,Belgium Jupiler League,9985,9993,Draw
2009/2010,Belgium Jupiler League,9987,10001,Draw
2009/2010,Belgium Jupiler League,9986,9997,Draw
2009/2010,Belgium Jupiler League,9984,8635,Away Win
2009/2010,Belgium Jupiler League,9994,8342,Away Win
2009/2010,Belgium Jupiler League,8571,10000,Home Win
2009/2010,Belgium Jupiler League,8203,9991,Away Win
2009/2010,Belgium Jupiler League,8342,8203,Draw
2009/2010,Belgium Jupiler League,9985,9999,Away Win
2009/2010,Belgium Jupiler League,9997,8571,Away Win
2009/2010,Belgium Jupiler League,10000,9984,Home Win
2009/2010,Belgium Jupiler League,9991,9987,Home Win
2009/2010,Belgium Jupiler League,10001,8635,Away Win
2009/2010,Belgium Jupiler League,9993,9986,Draw
2009/2010,Belgium Jupiler League,8635,8342,Home Win
2009/2010,Belgium Jupiler League,9987,10000,Draw
2009/2010,Belgium Jupiler League,9986,9985,Away Win
2009/2010,Belgium Jupiler League,9994,9991,Away Win
2009/2010,Belgium Jupiler League,8571,10001,Draw
2009/2010,Belgium Jupiler League,8203,9993,Home Win
2009/2010,Belgium Jupiler League,9999,9997,Away Win
2009/2010,Belgium Jupiler League,8342,9994,Home Win
2009/2010,Belgium Jupiler League,8635,9984,Home Win
2009/2010,Belgium Jupiler League,9997,9986,Draw
2009/2010,Belgium Jupiler League,10000,9987,Draw
2009/2010,Belgium Jupiler League,9991,8203,Home Win
2009/2010,Belgium Jupiler League,10001,8571,Draw
2009/2010,Belgium Jupiler League,9993,9985,Draw
2009/2010,Belgium Jupiler League,8342,9984,Home Win
2009/2010,Belgium Jupiler League,9985,9994,Home Win
2009/2010,Belgium Jupiler League,9997,8203,Home Win
2009/2010,Belgium Jupiler League,10000,10001,Home Win
2009/2010,Belgium Jupiler League,9986,9999,Home Win
2009/2010,Belgium Jupiler League,9991,8635,Draw
2009/2010,Belgium Jupiler League,9993,9987,Home Win
2009/2010,Belgium Jupiler League,8635,10000,Home Win
2009/2010,Belgium Jupiler League,9987,9997,Draw
2009/2010,Belgium Jupiler League,9984,9985,Home Win
2009/2010,Belgium Jupiler League,9994,9993,Home Win
2009/2010,Belgium Jupiler League,8571,8342,Away Win
2009/2010,Belgium Jupiler League,8203,9986,Home Win
2009/2010,Belgium Jupiler League,9999,9991,Away Win
2009/2010,Belgium Jupiler League,8342,10001,Home Win
2009/2010,Belgium Jupiler League,9985,8635,Away Win
2009/2010,Belgium Jupiler League,9997,9994,Home Win
2009/2010,Belgium Jupiler League,9986,9987,Away Win
2009/2010,Belgium Jupiler League,9991,8571,Draw
2009/2010,Belgium Jupiler League,9999,8203,Away Win
2009/2010,Belgium Jupiler League,9993,9984,Away Win
2009/2010,Belgium Jupiler League,9987,8342,Home Win
2009/2010,Belgium Jupiler League,10000,9997,Home Win
2009/2010,Belgium Jupiler League,9984,9986,Home Win
2009/2010,Belgium Jupiler League,9994,9999,Away Win
2009/2010,Belgium Jupiler League,8571,9993,Home Win
2009/2010,Belgium Jupiler League,8203,9985,Draw
2009/2010,Belgium Jupiler League,10001,9991,Draw
2009/2010,Belgium Jupiler League,9985,8571,Home Win
2009/2010,Belgium Jupiler League,9997,10001,Away Win
2009/2010,Belgium Jupiler League,9986,9994,Home Win
2009/2010,Belgium Jupiler League,9991,10000,Away Win
2009/2010,Belgium Jupiler League,8203,9984,Away Win
2009/2010,Belgium Jupiler League,9999,9987,Draw
2009/2010,Belgium Jupiler League,9993,8635,Away Win
2009/2010,Belgium Jupiler League,8635,9997,Away Win
2009/2010,Belgium Jupiler League,9987,9985,Home Win
2009/2010,Belgium Jupiler League,10000,8342,Draw
2009/2010,Belgium Jupiler League,9984,9999,Home Win
2009/2010,Belgium Jupiler League,9994,8203,Home Win
2009/2010,Belgium Jupiler League,8571,9986,Home Win
2009/2010,Belgium Jupiler League,10001,9993,Draw
2009/2010,Belgium Jupiler League,9985,10001,Home Win
2009/2010,Belgium Jupiler League,9986,8635,Away Win
2009/2010,Belgium Jupiler League,9984,9994,Home Win
2009/2010,Belgium Jupiler League,9991,8342,Draw
2009/2010,Belgium Jupiler League,8203,9987,Home Win
2009/2010,Belgium Jupiler League,9999,8571,Away Win
2009/2010,Belgium Jupiler League,9993,10000,Draw
2009/2010,Belgium Jupiler League,8342,9985,Home Win
2009/2010,Belgium Jupiler League,8635,8203,Home Win
2009/2010,Belgium Jupiler League,9987,9994,Home Win
2009/2010,Belgium Jupiler League,10000,9999,Draw
2009/2010,Belgium Jupiler League,9991,9997,Away Win
2009/2010,Belgium Jupiler League,8571,9984,Home Win
2009/2010,Belgium Jupiler League,10001,9986,Home Win
2009/2010,Belgium Jupiler League,9997,8342,Draw
2009/2010,Belgium Jupiler League,9986,10000,Draw
2009/2010,Belgium Jupiler League,9984,9987,Home Win
2009/2010,Belgium Jupiler League,9994,10001,Home Win
2009/2010,Belgium Jupiler League,8203,8571,Draw
2009/2010,Belgium Jupiler League,9999,8635,Away Win
2009/2010,Belgium Jupiler League,9993,9991,Draw
2009/2010,Belgium Jupiler League,8342,9999,Home Win
2009/2010,Belgium Jupiler League,8635,9987,Home Win
2009/2010,Belgium Jupiler League,9997,9993,Home Win
2009/2010,Belgium Jupiler League,10000,9985,Draw
2009/2010,Belgium Jupiler League,9991,9986,Home Win
2009/2010,Belgium Jupiler League,8571,9994,Home Win
2009/2010,Belgium Jupiler League,10001,9984,Home Win
2009/2010,Belgium Jupiler League,8635,10001,Home Win
2009/2010,Belgium Jupiler League,9987,9991,Draw
2009/2010,Belgium Jupiler League,9986,9993,Home Win
2009/2010,Belgium Jupiler League,9984,10000,Draw
2009/2010,Belgium Jupiler League,9994,9997,Away Win
2009/2010,Belgium Jupiler League,8203,8342,Home Win
2009/2010,Belgium Jupiler League,9999,9985,Away Win
2009/2010,Belgium Jupiler League,9985,9991,Away Win
2009/2010,Belgium Jupiler League,9987,8571,Draw
2009/2010,Belgium Jupiler League,9984,9997,Home Win
2009/2010,Belgium Jupiler League,9994,8635,Away Win
2009/2010,Belgium Jupiler League,8203,10000,Home Win
2009/2010,Belgium Jupiler League,9999,10001,Draw
2009/2010,Belgium Jupiler League,9993,8342,Away Win
2009/2010,Belgium Jupiler League,8342,8571,Draw
2009/2010,Belgium Jupiler League,9985,9986,Draw
2009/2010,Belgium Jupiler League,9997,9999,Home Win
2009/2010,Belgium Jupiler League,10000,8635,Away Win
2009/2010,Belgium Jupiler League,9991,9994,Home Win
2009/2010,Belgium Jupiler League,10001,9987,Away Win
2009/2010,Belgium Jupiler League,9993,8203,Away Win
2009/2010,Belgium Jupiler League,8635,9985,Draw
2009/2010,Belgium Jupiler League,9987,9993,Draw
2009/2010,Belgium Jupiler League,9984,8342,Away Win
2009/2010,Belgium Jupiler League,8571,9991,Home Win
2009/2010,Belgium Jupiler League,8203,9997,Away Win
2009/2010,Belgium Jupiler League,9999,9986,Away Win
2009/2010,Belgium Jupiler League,10001,10000,Away Win
2009/2010,Belgium Jupiler League,8342,9987,Draw
2009/2010,Belgium Jupiler League,9985,8203,Home Win
2009/2010,Belgium Jupiler League,9997,8635,Home Win
2009/2010,Belgium Jupiler League,10000,8571,Away Win
2009/2010,Belgium Jupiler League,9986,9984,Away Win
2009/2010,Belgium Jupiler League,9991,9999,Home Win
2009/2010,Belgium Jupiler League,9993,9994,Home Win
2009/2010,Belgium Jupiler League,8635,9991,Draw
2009/2010,Belgium Jupiler League,9987,9986,Away Win
2009/2010,Belgium Jupiler League,9984,9993,Away Win
2009/2010,Belgium Jupiler League,9994,9985,Away Win
2009/2010,Belgium Jupiler League,8571,9997,Away Win
2009/2010,Belgium Jupiler League,8203,9999,Home Win
2009/2010,Belgium Jupiler League,10001,8342,Away Win
